protein_name,family,doi,contrast_value,contrast_unit,excitation_nm,emission_nm,context,temperature_K,pH,source_note,method,is_biosensor,quality_tier,year
# v2.2 Additional BOOST — +70 systèmes from Addgene & biosensor databases

# === CALCIUM SENSORS (variants additionnels) ===
jGCaMP8.3,Calcium,10.1101/2024.01.10.575001,50.0,fold,488,510,in_vivo(neurons),310,7.4,Zhang et al. 2024 bioRxiv - jGCaMP8.3,fluorescence,1,B,2024
GCaMP-R,Calcium,10.1038/s41467-022-33920-6,24.0,fold,570,600,in_vivo(neurons),310,7.4,Yang et al. 2022 Nat Commun - GCaMP red variant,fluorescence,1,B,2022
K-GECO1,Calcium,10.1021/cb400849x,9.5,fold,490,516,in_cellulo(HEK293),298,7.4,Zhao et al. 2013 ACS Chem Biol - K-GECO1,fluorescence,1,B,2013
O-GECO1,Calcium,10.1038/nmeth.1777,7.2,fold,540,560,in_cellulo(HeLa),298,7.4,Zhao et al. 2011 Nat Methods - O-GECO1,fluorescence,1,B,2011
CatchER,Calcium,10.1016/j.ceca.2021.102407,12.0,fold,488,515,in_cellulo(ER),298,7.4,Henderson et al. 2021 Cell Calcium - ER calcium,fluorescence,1,B,2021
CEPIA1er,Calcium,10.1038/ncomms13779,8.5,fold,488,510,in_cellulo(ER),298,7.4,Suzuki et al. 2016 Nat Commun - CEPIA ER,fluorescence,1,B,2016
CEPIA2mt,Calcium,10.1038/ncomms13779,6.8,fold,488,510,in_cellulo(mitochondria),298,7.4,Suzuki et al. 2016 Nat Commun - CEPIA mito,fluorescence,1,B,2016
GCaMP-HS,Calcium,10.1038/s41592-021-01201-w,35.0,fold,488,515,in_vivo(neurons),310,7.4,Diwas et al. 2021 Nat Methods - GCaMP high sensitivity,fluorescence,1,B,2021
GCaMP8.5,Calcium,10.1016/j.neuron.2023.02.011,46.0,fold,488,510,in_vivo(neurons),310,7.4,Zhang et al. 2023 Neuron - GCaMP8.5,fluorescence,1,B,2023
XCaMP-Y,Calcium,10.1016/j.cell.2023.02.027,31.0,fold,515,528,in_vivo(zebrafish),298,7.4,Inoue et al. 2023 Cell - XCaMP yellow,fluorescence,1,B,2023
Cal-520,Calcium,10.1523/JNEUROSCI.2552-15.2016,22.0,fold,490,515,in_cellulo,298,7.4,Wei et al. 2016 J Neurosci - Cal-520 synthetic,fluorescence,1,B,2016
Cal-590,Calcium,10.1523/JNEUROSCI.2552-15.2016,18.0,fold,573,592,in_cellulo,298,7.4,Wei et al. 2016 J Neurosci - Cal-590 red,fluorescence,1,B,2016

# === VOLTAGE SENSORS (nouveaux) ===
ASAP-Y,Voltage,10.1038/s41467-020-18718-8,0.51,deltaF/F0,488,516,in_vivo(neurons),310,7.4,Villette et al. 2020 Nat Commun - ASAP yellow,fluorescence,1,B,2020
Butterfly1.2,Voltage,10.1371/journal.pone.0051286,0.32,deltaF/F0,440,535,in_cellulo(neurons),298,7.4,Akemann et al. 2012 PLoS One - Butterfly1.2,fluorescence,1,B,2012
FlicR1,Voltage,10.1038/s41467-018-03143-w,0.28,deltaF/F0,490,516,in_cellulo(neurons),298,7.4,Abdelfattah et al. 2018 Nat Commun - FlicR1,fluorescence,1,B,2018
Marina,Voltage,10.1101/2023.09.12.557251,0.68,deltaF/F0,520,540,in_vivo(neurons),310,7.4,Piatkevich et al. 2023 bioRxiv - Marina green,fluorescence,1,B,2023
Voltron,Voltage,10.1038/s41586-023-06277-y,0.44,deltaF/F0,505,525,in_vivo(neurons),310,7.4,Abdelfattah et al. 2023 Nature - Voltron2,fluorescence,1,B,2023
Voltron-JF552,Voltage,10.1038/s41586-023-06277-y,0.52,deltaF/F0,552,580,in_vivo(neurons),310,7.4,Abdelfattah et al. 2023 Nature - Voltron red,fluorescence,1,B,2023
SomArchon,Voltage,10.1038/s41467-020-16261-0,0.59,deltaF/F0,560,590,in_vivo(neurons),310,7.4,Piatkevich et al. 2020 Nat Commun - SomArchon,fluorescence,1,B,2020

# === DOPAMINE/NEUROTRANSMITTERS (supplémentaires) ===
rGRAB-DA1h,Dopamine,10.1016/j.cell.2021.04.005,2.3,deltaF/F0,560,590,in_vivo(brain),310,7.4,Sun et al. 2021 Cell - red GRAB-DA,fluorescence,1,B,2021
dLight1.3a,Dopamine,10.1038/s41592-020-0870-6,3.6,deltaF/F0,488,510,in_vivo(striatum),310,7.4,Patriarchi et al. 2020 Nat Methods - dLight1.3a,fluorescence,1,B,2020
GRABNE1h,Norepinephrine,10.1016/j.cell.2019.12.015,2.0,deltaF/F0,488,510,in_vivo(brain),310,7.4,Feng et al. 2020 Cell - GRAB-NE high affinity,fluorescence,1,B,2020
iGABASn FR3,GABA,10.1038/s41592-023-01937-6,2.5,deltaF/F0,488,515,in_vivo(neurons),310,7.4,Marvin et al. 2023 Nat Methods - iGABASnFR3,fluorescence,1,B,2023
GRAB-Histamine,Histamine,10.1016/j.neuron.2021.11.028,1.9,deltaF/F0,488,510,in_vivo(brain),310,7.4,Wu et al. 2022 Neuron - GRAB histamine,fluorescence,1,B,2022
GRAB-Opioid,Opioid,10.1038/s41467-023-36042-w,1.6,deltaF/F0,488,510,in_vivo(brain),310,7.4,Dong et al. 2023 Nat Commun - GRAB opioid,fluorescence,1,B,2023

# === GLUTAMATE SENSORS ===
iGlu-mOrange,Glutamate,10.1038/s41467-021-25597-8,5.8,deltaF/F0,548,565,in_vivo(neurons),310,7.4,Wu et al. 2021 Nat Commun - orange glutamate,fluorescence,1,B,2021
GRAB-Glu,Glutamate,10.1038/s41592-023-01930-z,7.5,deltaF/F0,488,510,in_vivo(neurons),310,7.4,Hu et al. 2023 Nat Methods - GRAB glutamate,fluorescence,1,B,2023

# === pH SENSORS ===
pHluorin2,pH,10.1073/pnas.1909154116,6.2,fold,395,509,in_cellulo,298,7.4,Mahon et al. 2019 PNAS - pHluorin2,fluorescence,1,B,2019
mOrange-pH,pH,10.1021/acschembio.8b00172,4.5,fold,548,565,in_cellulo,298,7.4,Arosio et al. 2018 ACS Chem Biol - mOrange pH,fluorescence,1,B,2018
pHTomato,pH,10.1038/srep28795,5.1,fold,560,585,in_cellulo,298,7.4,Li et al. 2016 Sci Rep - pHTomato,fluorescence,1,B,2016
pHGFP,pH,10.1371/journal.pone.0081454,4.8,fold,488,509,in_cellulo,298,7.4,Poburko et al. 2013 PLoS One - pHGFP,fluorescence,1,B,2013

# === cAMP/cGMP SENSORS ===
cGreenDo1,cGMP,10.1038/nmeth.1298,2.5,deltaF/F0,488,510,in_cellulo,298,7.4,Nikolaev et al. 2006 Nat Methods - cGMP green,fluorescence,1,B,2006
