Systeme,Classe,Hote_contexte,Methode_lecture,Frequence,B0_Tesla,Spin_type,Defaut,Polytype_Site,T1_s,T2_us,Contraste_%,Temperature_K,Taille_objet_nm,Source_T2,Source_T1,Source_Contraste,T2_us_err,T1_s_err,Contraste_err,Hyperpol_flag,Cytotox_flag,Toxicity_note,Temp_controlled,Photophysique,Conditions,Limitations,In_vivo_flag,DOI,Annee,Qualite,Verification_statut,Notes,dataset_source,last_updated
Protéine LOV2 modifiée (flavine),A,Lysat E. coli (in_vitro),ESR,9.5 GHz (bande X),0.34,Electron,Radical-flavine,,,0.02,2.0,295.0,,DOI:10.1021/jacs.0c12505 Suppl.Fig.S4,,DOI:10.1021/jacs.0c12505 Fig.3b,0.01,,1.0,0.0,0.0,"Non toxique in vitro, in cellulo à tester",0.0,ex_450nm; em_495nm; lifetime_4.5ns; radical-flavine,"Lysat bactérien E. coli pH 7.5, photo-activation laser 450 nm CW 20 mW, ESR bande X, T ambiante","T2 ultra-court 20±10 ns insuffisant qubit, signal faible, pas testé cellules vivantes, optimisation drastique requise",0.0,10.1021/jacs.0c12505,2021.0,1.0,a_confirmer,Protéine photo-activable générant radical flavine FMN•−. Classe A exploratoire. T2=20±10 ns limite physique pour qubit. Potentiel si ingénierie protéine. Qualité 1.,biological_qubits_v1,2025-11-19T02:19:30.335606
Protéine fluorescente avec lecture ODMR,A,Cellules HeLa (in_cellulo),ODMR,2.87 GHz,0.005,Electron,,,,0.8,12.0,295.0,,DOI:10.1038/s41586-024-08300-4 Fig.2c,,DOI:10.1038/s41586-024-08300-4 Fig.3a,0.2,,3.0,0.0,1.0,"Cytotoxicité faible, photoblanchiment modéré",1.0,ex_488nm; em_520nm; lifetime_3.2ns; QY_0.65,"Milieu cellulaire pH 7.4, laser 488 nm CW 100mW, micro-ondes 2.87 GHz, incubation 24h","Photoblanchiment modéré après 30 min, T2 court limite sensibilité, expression hétérogène",0.0,10.1038/s41586-024-08300-4,2025.0,3.0,verifie,Premier qubit protéique démontré en cellules vivantes (Univ. Chicago). Lecture ODMR de spin électronique dans chromophore protéique GFP modifiée. Révolution classe A. Contraste 12±3% mesuré.,biological_qubits_v1,2025-11-19T02:19:30.335606
Radicaux tyrosyl dans ribonucléotide réductase,A,E. coli lysat (in_vitro),ESR,9.5 GHz (bande X),0.34,Electron,Radical-tyrosyl,,,0.015,2.0,295.0,,DOI:10.1021/bi00483a003 Suppl.S2,,,0.008,,1.0,0.0,0.0,"Non toxique in vitro, enzyme essentielle, radical transitoire",1.0,g-factor_2.0045; linewidth_1.5mT,"Lysat E. coli, anaérobie, hydroxyurea réduction Fe-center, ESR bande X 295K, radical Y122","T2=15±8 ns ultra-court, radical transitoire instable >1s sous air, pas démontré cellules vivantes, classe A exploratoire",0.0,10.1021/bi00483a003,1991.0,1.0,a_confirmer,Radical tyrosyl Y122 essentiel synthèse ADN. Enzyme ribonucléotide réductase (RNR). T2=0.015±0.008 µs (15 ns) limite qubit. Classe A bio-intrinsèque mais performances faibles. Qualité 1.,biological_qubits_v1,2025-11-19T02:19:30.335606
"DmCry (Drosophila cryptochrome, purified)",A_prime,Purified protein (in_vitro),ODMR,~1.4 GHz (ESR FAD radical),0.05,Electron (SCRP: FAD + TrpH),Spin-correlated radical pair [FAD.- / TrpH.+],,,1.0,5.0,295.0,6.0,DOI:10.1038/s41586-025-09971-3 (cited as SCRP precedent),,DOI:10.1038/s41586-025-09971-3,0.5,,2.0,0.0,0.0,Purified protein,0.0,ex_450nm (FAD photolysis); em_FAD fluorescence,"Purified DmCry, 450 nm blue light activation, RT, magnetic field for SCRP transitions",ODMR direct demonstration less established than MagLOV; requires blue light; radical transient,0.0,10.1038/s41586-025-09971-3,2026.0,2.0,a_confirmer,Drosophila cryptochrome cited in Abrahams 2026 as a natural SCRP precedent to MagLOV. Historically key to magnetoreception hypothesis. Direct ODMR data pending; previous SCRP evidence from EPR.,enrichment_v3_A_prime,2026-04-16T23:13:36.882906+00:00
EYFP (Enhanced Yellow Fluorescent Protein) - spin qubit,A_prime,E. coli + mammalian cells (in_cellulo),ODMR,2.815 GHz (Tx-Tz transition),0.0,"Electron (triplet T1, S=1)",Triplet T1 state of protein chromophore,,0.000141,16.0,20.0,80.0,3.0,"DOI:10.1038/s41586-025-09417-w Fig.3c (CPMG 240 pi-pulses, 80 K)",DOI:10.1038/s41586-025-09417-w Fig.3d (80 K),"DOI:10.1038/s41586-025-09417-w Fig.1d (OADF Tx-Tz, 80 K)",2.0,5e-06,2.0,0.0,0.0,"None reported; genetically encoded, biocompatible",1.0,ex_488nm init; read_912nm OADF; ZPL_triplet; QY=0.67,"Liquid cell (sapphire), 488 nm AOM-gated init, 912 nm OADF readout pulse, 2.815 GHz microwave, 80 K (cryostat)","T2 Hahn=1.5 us at 0 field (limited by hyperfine), requires CPMG; full coherence only at 80 K; RT ODMR contrast 3% in aqueous solution",0.0,10.1038/s41586-025-09417-w,2025.0,3.0,verifie,First demonstrated FP spin qubit. AC magnetic-field sensitivity upper bound 183 fT mol^1/2 Hz^-1/2 (80 K) / 5.11 uT Hz^-1/2 (RT). Expressed in HEK293 with preserved coherent control. OADF = Optically Activated Delayed Fluorescence readout. arXiv:2411.16835.,enrichment_v3_A_prime,2026-04-16T23:13:36.882906+00:00
"EYFP at room temperature (aqueous, ODMR)",A_prime,Aqueous solution (in_vitro),ODMR,2.815 GHz,0.0,"Electron (triplet T1, S=1)",Triplet T1 of chromophore,,,,3.0,295.0,3.0,DOI:10.1038/s41586-025-09417-w Fig.4,,DOI:10.1038/s41586-025-09417-w Fig.4,,,0.5,0.0,0.0,None reported,0.0,ex_488nm; em_520nm; OADF_912nm,"PBS buffer pH 7.4, room temperature, 912 nm OADF readout",RT contrast drops to 3%; T2 not reported at 295 K (dominated by fast triplet decay),0.0,10.1038/s41586-025-09417-w,2025.0,3.0,verifie,Room-temperature ODMR demonstration. DC sensitivity upper bound 93 pT mol^1/2 Hz^-1/2 at RT. Establishes practical path toward cellular quantum sensing without cryogenics.,enrichment_v3_A_prime,2026-04-16T23:13:36.882906+00:00
MagLOV (parental magneto-responsive LOV2),A_prime,E. coli (in_cellulo),ODMR,~280 MHz at 10 mT,0.01,Electron (SCRP: flavin + backbone radical),Spin-correlated radical pair,,,,5.0,295.0,4.0,,,DOI:10.1038/s41586-025-09971-3 Fig.1 (MagLOV 1 / parental),,,1.0,0.0,0.0,None reported,0.0,ex_450nm; em_495nm,"Live E. coli, RT, 450 nm excitation",Baseline variant before directed evolution; smaller MFE than MagLOV 2,1.0,10.1038/s41586-025-09971-3,2026.0,3.0,verifie,Parent variant of the MagLOV family; MagLOV 2 was evolved from it for higher MFE/ODMR contrast.,enrichment_v3_A_prime,2026-04-16T23:13:36.882906+00:00
MagLOV 2 (engineered LOV2 with SCRP ODMR),A_prime,"E. coli (in_cellulo, single cell)",ODMR,"~280 MHz at 10 mT (ESR, g=2)",0.01,Electron (SCRP: flavin + backbone radical),Spin-correlated radical pair (FMN + protein radical),,,,10.0,295.0,4.0,,,DOI:10.1038/s41586-025-09971-3 Fig.1d,,,1.0,0.0,0.0,"None reported; genetically encoded, E. coli viable",0.0,"ex_450nm (blue, LOV2 flavin); em_495nm; radical-pair T|0>/T|+-> transitions","Live E. coli cells, 450 nm blue-light excitation, electromagnet (static) + RF coil, fluorescence microscopy, RT","MFE -50% (MagLOV 2 variant), ODMR 10% single cell; transient SCRP lifetime limits coherence; optimization ongoing",1.0,10.1038/s41586-025-09971-3,2026.0,3.0,verifie,First room-temperature ODMR in living cells from a genetically encoded protein. Derived from AsLOV2 (PDB 2V1A) by directed evolution. Magnetic-field sensitivity eta0 = 26 uT Hz^-1/2 (single cell). MFE attenuated by MRI contrast agents - enables MRI-encoded bio-imaging.,enrichment_v3_A_prime,2026-04-16T23:13:36.882906+00:00
"mCherry + FMN (SCRP, RYDMR)",A_prime,In vitro (aqueous solution),ODMR,447 MHz (at 15.9 mT),0.0159,Electron (SCRP: RFP chromophore + FMN),Spin-correlated radical pair,,,,15.0,293.0,3.0,,,DOI:10.1101/2025.02.27.640669,,,3.0,0.0,0.0,Non-toxic,0.0,ex_587nm; em_610nm (mCherry); FMN added,"In vitro with purified mCherry + FMN, RF 447 MHz, static field 15.9 mT, RT",In vivo not yet demonstrated; preprint stage,0.0,10.1101/2025.02.27.640669,2025.0,2.0,a_confirmer,"Red-shifted alternative to mScarlet, same Burd et al. 2025 paper. Smaller MFE than mScarlet.",enrichment_v3_A_prime,2026-04-16T23:13:36.882906+00:00
"mScarlet + FMN (SCRP, RYDMR)",A_prime,"C. elegans (in_vivo, transgenic)",ODMR,447 MHz (at 15.9 mT),0.0159,Electron (SCRP: RFP chromophore + FMN),Spin-correlated radical pair,,,,20.0,293.0,3.0,,,DOI:10.1101/2025.02.27.640669 (RFP:FMN MFE),,,3.0,0.0,0.0,Non-toxic; mScarlet expressed transgenically in C. elegans,0.0,ex_~569nm; em_~594nm (mScarlet); FMN cofactor added,"Live C. elegans nematodes (transgenic), RF magnetic field ~447 MHz, static field 15.9 mT, room temperature fluorescence microscopy",RYDMR effect; requires external FMN; preprint (not yet peer-reviewed journal),1.0,10.1101/2025.02.27.640669,2025.0,2.0,a_confirmer,"First RYDMR in a live animal. Demonstrates RF manipulation of genetically encoded quantum system in C. elegans. Cited authors: Burd, Ingaramo, Boxer, Kasevich (Stanford). Preprint under review. 13 citations as of early 2026.",enrichment_v3_A_prime,2026-04-16T23:13:36.882906+00:00
