Systeme,Classe,DOI,T1_s,T2_us,Temperature_K,Contraste_%,Hote_contexte,Methode_lecture,Qualite,Verification_statut,_source_file,_source_category,Frequence,B0_Tesla,Spin_type,Defaut,Polytype_Site,Taille_objet_nm,Source_T2,Source_T1,Source_Contraste,T2_us_err,T1_s_err,Contraste_err,Hyperpol_flag,Cytotox_flag,Toxicity_note,Temp_controlled,Photophysique,Conditions,Limitations,In_vivo_flag,Annee,Notes,dataset_source,last_updated,id,system_type,T1_us,notes,label,T2_star_microseconds,magnetic_sensitivity_nT_rtHz,curator,protein_or_complex,observable,field_sensitivity_uT,mfe_percent,nucleus,host,coupling_strength_Hz,merge_note,flag_suspect,flag_reason,Data_Quality_Atlas
13C in diamond (coupled to NV),C,10.1103/physrevlett.109.137602,,1000000.0,298.0,,diamond (coupled to NV),dynamical_decoupling,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"13C nuclear spin coupled to NV center, room temperature",nonoptical_merge_v2,2025-11-19T02:52:29.669720,,,,,,,,,,,,,,,,,0,,MEDIUM
13C in diamond (coupled to NV),nuclear_spin,10.1103/PhysRevLett.109.137602,,1000000.0,298.0,,diamond (coupled to NV),dynamical_decoupling,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,NUC_13C_001,diamond_NV_coupled,,"13C nuclear spin coupled to NV center, room temperature",,,,,,,,,,,,,0,,MEDIUM
13C in lactate (hyperpolarized),C,10.1002/mrm.25460,45.0,,310.0,,lactate (hyperpolarized),DNP_MRI,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"Hyperpolarized 13C-lactate, downstream metabolite of pyruvate",nonoptical_merge_v2,2025-11-19T02:52:29.669999,,,,,,,,,,,,,,,,,0,,MEDIUM
13C in lactate (hyperpolarized),nuclear_spin,10.1002/mrm.25460,,,310.0,,lactate (hyperpolarized),DNP_MRI,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,NUC_13C_LACTATE_001,metabolic_tracer,45000000.0,"Hyperpolarized 13C-lactate, downstream metabolite of pyruvate",,,,,,,,,,,,,0,,LOW
13C in pyruvate (hyperpolarized),C,10.1073/pnas.0601319103,60.0,,310.0,,pyruvate (hyperpolarized),DNP_MRI,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"Hyperpolarized 13C-pyruvate for in vivo metabolic imaging, FDA-approved",nonoptical_merge_v2,2025-11-19T02:52:29.669934,,,,,,,,,,,,,,,,,0,,MEDIUM
13C in pyruvate (hyperpolarized),nuclear_spin,10.1073/pnas.0601319103,,,310.0,,pyruvate (hyperpolarized),DNP_MRI,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,NUC_13C_PYRUVATE_001,metabolic_tracer,60000000.0,"Hyperpolarized 13C-pyruvate for in vivo metabolic imaging, FDA-approved",,,,,,,,,,,,,0,,LOW
14N in diamond (NV center intrinsic),C,10.1126/science.1231364,,3000.0,298.0,,diamond (NV center intrinsic),ODMR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"14N nuclear spin intrinsic to NV center, room temperature control",nonoptical_merge_v2,2025-11-19T02:52:29.669828,,,,,,,,,,,,,,,,,0,,MEDIUM
14N in diamond (NV center intrinsic),nuclear_spin,10.1126/science.1231364,,3000.0,298.0,,diamond (NV center intrinsic),ODMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,NUC_14N_001,diamond_NV_coupled,,"14N nuclear spin intrinsic to NV center, room temperature control",,,,,,,,,,,,,0,,MEDIUM
15N in choline (hyperpolarized),C,10.1002/mrm.26854,90.0,,298.0,,choline (hyperpolarized),DNP_MRI,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,Hyperpolarized 15N-choline for cell membrane imaging,nonoptical_merge_v2,2025-11-19T02:52:29.670052,,,,,,,,,,,,,,,,,0,,MEDIUM
15N in choline (hyperpolarized),nuclear_spin,10.1002/mrm.26854,,,298.0,,choline (hyperpolarized),DNP_MRI,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,NUC_15N_CHOLINE_001,membrane_tracer,90000000.0,Hyperpolarized 15N-choline for cell membrane imaging,,,,,,,,,,,,,0,,LOW
