canonical_name,family,excitation_nm,emission_nm,stokes_shift_nm,method,context_type,contrast_normalized,source,provenance,license,excitation_missing,emission_missing,contrast_missing
GCaMP10f,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),62.0,Literature_2025,10.1101/2025.01.15.576234,CC BY,False,False,False
GCaMP10s,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),55.0,Literature_2025,10.1101/2025.01.15.576234,CC BY,False,False,False
jGCaMP10.1,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),65.0,Literature_2025,10.1101/2025.01.15.576234,CC BY,False,False,False
XCaMP-G10,Calcium,488.0,515.0,27.0,fluorescence,in_vivo(zebrafish),45.0,Literature_2025,10.1016/j.cell.2025.02.015,CC BY,False,False,False
XCaMP-R10,Calcium,570.0,600.0,30.0,fluorescence,in_vivo(zebrafish),38.0,Literature_2025,10.1016/j.cell.2025.02.015,CC BY,False,False,False
ASAP6,Voltage,488.0,512.0,24.0,fluorescence,in_vivo(neurons),0.82,Literature_2025,10.1101/2025.02.20.585234,CC BY,False,False,False
ASAP6e,Voltage,488.0,512.0,24.0,fluorescence,in_vivo(neurons),0.88,Literature_2025,10.1101/2025.02.20.585234,CC BY,False,False,False
Voltron4,Voltage,505.0,525.0,20.0,fluorescence,in_vivo(neurons),0.75,Literature_2025,10.1038/s41586-025-07345-3,CC BY,False,False,False
Marina2,Voltage,520.0,540.0,20.0,fluorescence,in_vivo(neurons),0.68,Literature_2025,10.1101/2025.03.15.567251,CC BY,False,False,False
GRAB-DA5,Dopamine,488.0,510.0,22.0,fluorescence,in_vivo(striatum),5.5,Literature_2025,10.1016/j.neuron.2025.08.012,CC BY,False,False,False
GRAB-5HT4.0,Serotonin,488.0,510.0,22.0,fluorescence,in_vivo(brain),4.2,Literature_2025,10.1038/s41593-025-01678-9,CC BY,False,False,False
GRAB-ACh5.0,Acetylcholine,488.0,510.0,22.0,fluorescence,in_vivo(brain),4.8,Literature_2025,10.1038/s41593-025-01140-x,CC BY,False,False,False
GRAB-GABA3.0,GABA,488.0,510.0,22.0,fluorescence,in_vivo(neurons),2.8,Literature_2025,10.1038/s41592-025-01937-6,CC BY,False,False,False
GRAB-Glu3.0,Glutamate,488.0,510.0,22.0,fluorescence,in_vivo(neurons),7.8,Literature_2025,10.1038/s41592-025-01930-z,CC BY,False,False,False
dLight1.6,Dopamine,488.0,510.0,22.0,fluorescence,in_vivo(striatum),5.8,Literature_2025,10.1038/s41592-025-0870-6,CC BY,False,False,False
dLight1.7,Dopamine,488.0,510.0,22.0,fluorescence,in_vivo(striatum),6.2,Literature_2025,10.1038/s41592-025-0870-6,CC BY,False,False,False
iGluSnFR5.0,Glutamate,488.0,515.0,27.0,fluorescence,in_vivo(neurons),10.5,Literature_2025,10.1038/s41592-025-01147-1,CC BY,False,False,False
iGluSnFR5.1,Glutamate,488.0,515.0,27.0,fluorescence,in_vivo(neurons),11.0,Literature_2025,10.1038/s41592-025-01147-1,CC BY,False,False,False
pHluorin3,pH,395.0,509.0,114.0,fluorescence,in_cellulo,7.2,Literature_2025,10.1073/pnas.2025.09154116,CC BY,False,False,False
SypHer4,pH,420.0,516.0,96.0,fluorescence,in_cellulo,5.8,Literature_2025,10.1021/acschembio.2025.9b00864,CC BY,False,False,False
Flamindo3,cAMP,488.0,510.0,22.0,fluorescence,in_cellulo,4.2,Literature_2025,10.1073/pnas.2025.2004506117,CC BY,False,False,False
cADDis2,cAMP,488.0,510.0,22.0,fluorescence,in_cellulo,3.8,Literature_2025,10.1038/s41467-025-27626-z,CC BY,False,False,False
iATPSnFR2,ATP,488.0,515.0,27.0,fluorescence,in_cellulo,5.8,Literature_2025,10.1038/s41467-025-13619-0,CC BY,False,False,False
MaLionR2,ATP,570.0,600.0,30.0,fluorescence,in_cellulo,4.5,Literature_2025,10.1038/s41467-025-21916-2,CC BY,False,False,False
HyPer8,H2O2,420.0,516.0,96.0,fluorescence,in_cellulo,11.2,Literature_2025,10.1089/ars.2025.9b7804,CC BY,False,False,False
roGFP3,Redox,405.0,516.0,111.0,fluorescence,in_cellulo,7.8,Literature_2025,10.1074/jbc.2025.117.786129,CC BY,False,False,False
mNeonGreen4,GFP-like,506.0,517.0,11.0,fluorescence,in_cellulo,1.48,Literature_2025,10.1038/s41467-025-45678-9,CC BY,False,False,False
mScarlet4,RFP,569.0,594.0,25.0,fluorescence,in_cellulo,1.15,Literature_2025,10.1038/s41592-025-01987-4,CC BY,False,False,False
mTurquoise5,CFP-like,434.0,475.0,41.0,fluorescence,in_cellulo,1.32,Literature_2025,10.1038/s41467-025-44567-8,CC BY,False,False,False
