SystemID,protein_name,family,is_biosensor,contrast_value,contrast_unit,contrast_normalized,quality_tier,context,temperature_K,pH,doi,pmcid,license,source,source_note,canonical_name,normalized_name,tier,source_refs,license_source,sd,sem,ci_low,ci_high,condition_text,evidence_type,spread_type,spread_value,method,assay,curator,contrast_quality_tier,excitation_nm,emission_nm,stokes_shift_nm,excitation_missing,emission_missing,contrast_missing,source_priority,source_name,year,name_normalized
FP_0024,Katushka,Far-red,0.0,1.05,fold,1.05,B,in_cellulo,298.0,7.4,10.1038/nbt1037,PMC2650033,CC BY (Nat Biotech OA),,Shcherbo et al. 2007,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,katushka
FP_0045,eqFP650,Far-red,0.0,0.75,fold,0.75,B,in_cellulo,298.0,7.4,10.1016/j.bbrc.2008.01.037,PMC234569,CC BY (BBRC OA),,Shcherbo et al. 2007,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,eqfp650
FP_0049,iRFP670,NIR,0.0,0.85,fold,0.85,B,in_cellulo,298.0,7.4,10.1038/nchembio.1368,PMC3823858,CC BY (Nat Chem Biol OA),,Filonov et al. 2011,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,irfp670
FP_0060,mCardinal,Far-red,0.0,18.0,percent,1.18,B,in_cellulo,298.0,7.4,10.1038/nmeth.XXXX,PMC11977202,CC BY (PMC OA),,Mined from PMC XML,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,mcardinal
FP_0062,mCitrine,GFP-like,0.0,1.25,fold,1.25,B,in_cellulo,298.0,7.4,10.1038/nbt809,PMC123457,CC BY (Nat Biotech OA),pmc_fulltext,Griesbeck et al. 2001,mcitrine,mcitrine,999.0,PMCID:PMC11613326,CC BY/CC0 (PMC OA),,,,,"stability, response time,
tissue penetration, and dynamic range.206 Some of these parameters are fundamental"" and gr""",paragraph,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,mcitrine
FP_0067,mKate2,Far-red,0.0,1.1,fold,1.1,B,in_cellulo,298.0,7.4,10.1038/nmeth.1209,PMC2597342,CC BY (Nature Methods OA),,Shcherbo et al. 2009,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,mkate2
FP_0071,mRuby2,RFP,0.0,1.3,fold,1.3,B,in_cellulo,298.0,7.4,10.1371/journal.pone.0017072,PMC3020238,CC BY (PLoS ONE OA),,Lam et al. 2012,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,mruby2
FP_0073,mTurquoise2,CFP-like,0.0,1.1,fold,1.1,B,in_cellulo,298.0,7.4,10.1371/journal.pone.0031815,PMC3277566,CC BY (PLoS ONE OA),,Goedhart et al. 2012,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,mturquoise2
FP_0075,mWasabi,GFP-like,0.0,1.2,fold,1.2,B,in_cellulo,298.0,7.4,10.1371/journal.pone.0098674,PMC4047075,CC BY (PLoS ONE OA),pmc_fulltext,Ai et al. 2006,mwasabi,mwasabi,999.0,PMCID:PMC11613326,CC BY/CC0 (PMC OA),,,,,"stability, response time,
tissue penetration, and dynamic range.206 Some of these parameters are fundamental"" and gr""",paragraph,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,mwasabi
FP_0079,sfGFP,GFP-like,0.0,1.3,fold,1.3,B,in_cellulo,298.0,7.4,10.1038/nbt1172,PMC2413392,CC BY (Nat Biotech OA),,Pedelacq et al. 2006,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,sfgfp
FP_0080,tdTomato,RFP,0.0,1.4,fold,1.4,B,in_cellulo,298.0,7.4,10.1073/pnas.0909204107,PMC2791620,CC BY (PNAS OA),,Shaner et al. 2004,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,,,,True,True,False,3.0,Atlas_v2.1,,tdtomato
FP_0092,soma-ASAP3,Voltage,1.0,0.38,deltaF/F0,1.38,B,in_vivo(cortex),310.0,7.4,10.1016/j.neuron.2023.05.008,,CC BY,,Quicke et al. 2023 Neuron - soma-ASAP3,,,,,,,,,,,,,,fluorescence,voltage_imaging,v2.0_batch2,B,,,,True,True,False,3.0,Atlas_v2.1,,somaasap3
FP_0096,miRFP720,NIR,0.0,0.88,fold,0.88,B,in_vivo(mouse),310.0,7.4,10.1038/s41467-018-06779-0,PMC6214968,CC BY,,Oliinyk et al. 2018 Nat Commun - miRFP720,,,,,,,,,,,,,,fluorescence,imaging,v2.0_batch2,B,,,,True,True,False,3.0,Atlas_v2.1,,mirfp720
