SystemID,protein_name,family,is_biosensor,contrast_value,contrast_unit,contrast_normalized,quality_tier,context,temperature_K,pH,doi,pmcid,license,source,source_note,canonical_name,normalized_name,tier,source_refs,license_source,sd,sem,ci_low,ci_high,condition_text,evidence_type,spread_type,spread_value,method,assay,curator,contrast_quality_tier,excitation_nm,emission_nm,stokes_shift_nm,excitation_missing,emission_missing,contrast_missing,source_priority,source_name,year,name_normalized
FP_0319,(3-F)Tyr-EGFP,Unknown,1.0,,,1.0,,,,,10.1002/cbic.200300818,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0320,A44-KR,Unknown,1.0,,,1.0,,,,,10.1021/ja3073337,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0321,aacuGFP1,Unknown,1.0,,,1.0,,,,,10.1371/journal.pone.0002680,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0322,aacuGFP2,Unknown,1.0,,,1.0,,,,,10.1371/journal.pone.0002680,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0323,AausFP1,Unknown,1.0,,,1.0,,,,,10.1101/677344,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0324,AausFP2,Unknown,1.0,,,1.0,,,,,10.1101/677344,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0325,AausFP3,Unknown,1.0,,,1.0,,,,,10.1101/677344,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0326,AausFP4,Unknown,1.0,,,1.0,,,,,10.1101/677344,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0327,AausGFP,Unknown,1.0,,,1.0,,,,,10.1101/677344,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0328,aceGFP,Unknown,1.0,,,1.0,,,,,10.1074/jbc.m109.092320,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0329,aceGFP-G222E-Y220L,Unknown,1.0,,,1.0,,,,,10.1074/jbc.m109.092320,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0330,aceGFP-h,Unknown,1.0,,,1.0,,,,,10.1042/bj20021966,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0331,Achilles,Unknown,1.0,,,1.0,,,,,10.1038/s41586-019-1882-z,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0332,AdRed,Unknown,1.0,,,1.0,,,,,10.1002/pro.3540,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0333,AdRed-C148S,Unknown,1.0,,,1.0,,,,,10.1002/pro.3540,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0334,aeBlue,Unknown,1.0,,,1.0,,,,,10.1042/bj20051314,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0335,aeurGFP,Unknown,1.0,,,1.0,,,,,10.1371/journal.pone.0002680,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0336,afraGFP,Unknown,1.0,,,1.0,,,,,10.1371/journal.pone.0002680,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0337,alajGFP1,Unknown,1.0,,,1.0,,,,,10.1021/bp034308g,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0338,alajGFP2,Unknown,1.0,,,1.0,,,,,10.1021/bp034308g,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0339,alajGFP3,Unknown,1.0,,,1.0,,,,,10.1021/bp034308g,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0340,amFP486,Unknown,1.0,,,1.0,,,,,10.1038/13657,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0341,amFP495,Unknown,1.0,,,1.0,,,,,10.1073/pnas.0502250102,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0342,amFP506,Unknown,1.0,,,1.0,,,,,10.1073/pnas.0502250102,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
FP_0343,amFP515,Unknown,1.0,,,1.0,,,,,10.1073/pnas.0502250102,,unknown,,API harvest from fpbase_csv,,,,,,,,,,,,,,,,api_harvest_fpbase_csv,,,,,,,,,,,
